"Code","Name","Primary Role Name","Geographic Primary Care Organisation Code","Geographic Primary Care Organisation Name"
"RRU","LONDON AMBULANCE SERVICE NHS TRUST","NHS TRUST","72Q","NHS SOUTH EAST LONDON CCG"
"RPG","OXLEAS NHS FOUNDATION TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","NHS TRUST","X2C4Y","NHS KIRKLEES CCG"
"RWV","DEVON PARTNERSHIP NHS TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RY7","WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST","NHS TRUST","12F","NHS WIRRAL CCG"
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST","NHS TRUST","10Q","NHS OXFORDSHIRE CCG"
"RTV","NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","02E","NHS WARRINGTON CCG"
"RJC","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","NHS TRUST","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG"
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST","NHS TRUST","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG"
"RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","NHS TRUST","02H","NHS WIGAN BOROUGH CCG"
"RXW","THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","NHS TRUST","M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN CCG"
"RYR","UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST","NHS TRUST","70F","NHS WEST SUSSEX CCG"
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","92A","NHS SURREY HEARTLANDS CCG"
"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST","NHS TRUST","00V","NHS BURY CCG"
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","NHS TRUST","03H","NHS NORTH EAST LINCOLNSHIRE CCG"
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","NHS TRUST","04C","NHS LEICESTER CITY CCG"
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","NHS TRUST","05W","NHS STOKE ON TRENT CCG"
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","NHS TRUST","78H","NHS NORTHAMPTONSHIRE CCG"
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","11J","NHS DORSET CCG"
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","03R","NHS WAKEFIELD CCG"
"RTG","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","NHS TRUST","15M","NHS DERBY AND DERBYSHIRE CCG"
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","NHS TRUST","15E","NHS BIRMINGHAM AND SOLIHULL CCG"
"RT4","WELSH AMBULANCE SERVICES NHS TRUST","NHS TRUST","7A1","BETSI CADWALADR UNIVERSITY LHB"
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","NHS TRUST","07K","NHS WEST SUFFOLK CCG"
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","NHS TRUST","26A","NHS NORFOLK AND WAVENEY CCG"
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","15E","NHS BIRMINGHAM AND SOLIHULL CCG"
"RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","16C","NHS TEES VALLEY CCG"
"RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","NHS TRUST","26A","NHS NORFOLK AND WAVENEY CCG"
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RYE","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","10Q","NHS OXFORDSHIRE CCG"
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","99A","NHS LIVERPOOL CCG"
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","15F","NHS LEEDS CCG"
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","99A","NHS LIVERPOOL CCG"
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST","NHS TRUST","01G","NHS SALFORD CCG"
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","26A","NHS NORFOLK AND WAVENEY CCG"
"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","92A","NHS SURREY HEARTLANDS CCG"
"RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","02E","NHS WARRINGTON CCG"
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","NHS TRUST","42D","NHS NORTH YORKSHIRE CCG"
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"R1F","ISLE OF WIGHT NHS TRUST","NHS TRUST","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
"R1H","BARTS HEALTH NHS TRUST","NHS TRUST","A3A8R","NHS NORTH EAST LONDON CCG"
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RY6","LEEDS COMMUNITY HEALTHCARE NHS TRUST","NHS TRUST","15F","NHS LEEDS CCG"
"RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RY2","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","02E","NHS WARRINGTON CCG"
"RRE","MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","05V","NHS STAFFORD AND SURROUNDS CCG"
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","NHS TRUST","01K","NHS MORECAMBE BAY CCG"
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RYA","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","11X","NHS SOMERSET CCG"
"RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","NHS TRUST","01Y","NHS TAMESIDE AND GLOSSOP CCG"
"RV9","HUMBER TEACHING NHS FOUNDATION TRUST","NHS TRUST","02Y","NHS EAST RIDING OF YORKSHIRE CCG"
"RWA","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST","NHS TRUST","03F","NHS HULL CCG"
"RY5","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","NHS TRUST","71E","NHS LINCOLNSHIRE CCG"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","D4U1Y","NHS FRIMLEY CCG"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RJN","EAST CHESHIRE NHS TRUST","NHS TRUST","27D","NHS CHESHIRE CCG"
"RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","78H","NHS NORTHAMPTONSHIRE CCG"
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG"
"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST","NHS TRUST","04V","NHS WEST LEICESTERSHIRE CCG"
"RWD","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","NHS TRUST","71E","NHS LINCOLNSHIRE CCG"
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","92A","NHS SURREY HEARTLANDS CCG"
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RH5","SOMERSET NHS FOUNDATION TRUST","NHS TRUST","11X","NHS SOMERSET CCG"
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","11J","NHS DORSET CCG"
"RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","13T","NHS NEWCASTLE GATESHEAD CCG"
"RXH","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","09D","NHS BRIGHTON AND HOVE CCG"
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","01E","NHS GREATER PRESTON CCG"
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST","NHS TRUST","00T","NHS BOLTON CCG"
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST","NHS TRUST","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG"
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","03N","NHS SHEFFIELD CCG"
"RNZ","SALISBURY NHS FOUNDATION TRUST","NHS TRUST","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG"
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","72Q","NHS SOUTH EAST LONDON CCG"
"RWJ","STOCKPORT NHS FOUNDATION TRUST","NHS TRUST","01W","NHS STOCKPORT CCG"
"RVJ","NORTH BRISTOL NHS TRUST","NHS TRUST","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG"
"RY3","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST","NHS TRUST","26A","NHS NORFOLK AND WAVENEY CCG"
"RT3","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG"
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","NHS TRUST","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG"
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","NHS TRUST","72Q","NHS SOUTH EAST LONDON CCG"
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","02X","NHS DONCASTER CCG"
"RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST","NHS TRUST","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST","NHS TRUST","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG"
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","12F","NHS WIRRAL CCG"
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","99C","NHS NORTH TYNESIDE CCG"
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","NHS TRUST","06T","NHS NORTH EAST ESSEX CCG"
"RMC","BOLTON NHS FOUNDATION TRUST","NHS TRUST","00T","NHS BOLTON CCG"
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN CCG"
"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","NHS TRUST","72Q","NHS SOUTH EAST LONDON CCG"
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG"
"RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","NHS TRUST","72Q","NHS SOUTH EAST LONDON CCG"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG"
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","NHS TRUST","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG"
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","15M","NHS DERBY AND DERBYSHIRE CCG"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","A3A8R","NHS NORTH EAST LONDON CCG"
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","15E","NHS BIRMINGHAM AND SOLIHULL CCG"
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","78H","NHS NORTHAMPTONSHIRE CCG"
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG"
